title,author,date,headline,image,url
"Morocco Confirms 74 COVID-19 Cases in 24 Hours, 261 Recoveries",Hamza Guessous,"May 23, 2020",The hard-hit Casablanca-Settat region recorded 55 new cases during the past 24 hours.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco-Confirms-74-COVID-19-Cases-in-24-Hours-261-Recoveries-681x426.jpg,https://www.moroccoworldnews.com/2020/05/303614/morocco-confirms-74-covid-19-cases-in-24-hours-261-recoveries/
Casablanca’s Hassan II University Reports 2 Meteorite Falls in Morocco,Taha Mebtoul,"May 23, 2020",Several eyewitnesses from the southern provinces of Morocco observed a luminous streak of yellow coloring going to red when a meteorite fell in June 2019.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Casablanca’s-Hassan-II-University-Records-2-Meteorite-Falls-in-Morocco-681x471.jpg,https://www.moroccoworldnews.com/2020/05/303590/casablancas-hassan-ii-university-reports-2-meteorite-falls-in-morocco/
Expert Condemns Algeria’s Delegation of Tindouf Management to Polisario,Perri Huggins,"May 23, 2020","The French lawyer said that the absence of a clear, legal framework to govern the Tindouf camps is an “exceptional, unprecedented” violation of international law.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Expert-Condemns-Algeria’s-Delegation-of-Tindouf-Management-to-Polisario-681x356.jpg,https://www.moroccoworldnews.com/2020/05/303587/expert-condemns-algerias-delegation-of-tindouf-management-to-polisario/
Morocco’s Public Administrations to Boost Digital Presence Post-Lockdown,Yahia Hatim,"May 23, 2020","Since the start of the nationwide lockdown, several Moroccan administrations have started offering online services.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco’s-Public-Administrations-to-Boost-Digital-Presence-Post-Lockdown-681x325.jpg,https://www.moroccoworldnews.com/2020/05/303581/moroccos-public-administrations-to-boost-digital-presence-post-lockdown/
WHO: South America is New COVID-19 Epicenter,Kristen Gianaris,"May 23, 2020","COVID-19 cases in South America are reaching concerning heights, with Brazil being the most affected.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/WHO-South-America-is-New-COVID-19-Epicenter-681x383.jpg,https://www.moroccoworldnews.com/2020/05/303578/who-south-america-is-new-covid-19-epicenter/
"Morocco Arrested Over 91,000 State of Emergency Violators",Yahia Hatim,"May 23, 2020","People who violate the state of emergency can receive a prison sentence ranging from one to three months, in addition to fines.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco-Arrested-Over-91000-State-of-Emergency-Violators-681x454.jpg,https://www.moroccoworldnews.com/2020/05/303573/morocco-arrested-over-91000-state-of-emergency-violators/
"Morocco Records 43 New COVID-19 Cases, 196 New Recoveries",Yahia Hatim,"May 23, 2020",Morocco's recovery rate continues to increase and currently stands at 62%.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco-Records-43-New-COVID-19-Cases-196-New-Recoveries-1-681x382.jpg,https://www.moroccoworldnews.com/2020/05/303569/morocco-records-43-new-covid-19-cases-196-new-recoveries/
Moroccan Ambassador Televises Diplomatic Dinner for Chinese Viewers,Taha Mebtoul,"May 23, 2020",The meeting included discussions on several topics including relations between the two countries and Moroccan culture.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Moroccan-Ambassador-Televises-Diplomatic-Dinner-for-Chinese-Viewers-681x383.jpg,https://www.moroccoworldnews.com/2020/05/303562/moroccan-ambassador-televises-diplomatic-dinner-for-chinese-viewers/
"Morocco Can Become Africa’s Agricultural, Industrial Hub After COVID-19",Morgan Hekking,"May 22, 2020","The expert believes Morocco, in transforming into a global trade hub, must place its citizens at the center of development to ensure a prosperous and united dynamic.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Expert-Morocco-Can-Become-Agricultural-Industrial-Hub-After-COVID-19-681x454.jpg,https://www.moroccoworldnews.com/2020/05/303543/morocco-can-become-africas-agricultural-industrial-hub-after-covid-19/
Ama Detergent Launches Morocco’s First ‘Antibacterial’ Laundry Detergent,Hamza Guessous,"May 22, 2020",The launch aims to offer Moroccans a trust-worthy product that eliminates bacteria from clothes as the country prepares for a gradual deconfinement.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Ama-Detergent-Launches-Morocco’s-First-Antibacterial-Laundry-Detergent-681x472.jpg,https://www.moroccoworldnews.com/2020/05/303553/ama-detergent-launches-moroccos-first-antibacterial-laundry-detergent/
First Repatriation Operation of Moroccans Stranded in Ceuta,Hamza Guessous,"May 22, 2020",There are still 200 Moroccans in Ceuta and 300 in Melilla waiting for the second phase of repatriation. ,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Moroccans-in-Ceuta-681x454.jpeg,https://www.moroccoworldnews.com/2020/05/303515/first-repatriation-operation-of-moroccans-stranded-in-ceuta/
French Lawyer: Western Sahara Indisputably Moroccan,Safaa Kasraoui,"May 22, 2020","The lawyer argued that the historical facts surrounding the Western Sahara conflict prove the “Morocanness” of the region despite hostile maneuvers from Polisario and its main supporter, Algeria.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/French-Lawyer-Western-Sahara-Indisputably-Moroccan.jpg,https://www.moroccoworldnews.com/2020/05/303542/french-lawyer-western-sahara-indisputably-moroccan/
"Eid al-Fitr to Commence Sunday, May 24, in the UK ",Kristen Gianaris,"May 22, 2020","The new moon will occur on May 22, however it is unlikely that the crescent will be visible to the naked eye until May 24. ",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Eid-al-Fitr-to-Commence-Sunday-May-24-in-the-UK--681x454.jpg,https://www.moroccoworldnews.com/2020/05/303536/eid-al-fitr-to-commence-sunday-may-24-in-the-uk/
AUF Selects 4 Moroccan COVID-19 Projects for Grants,Yahia Hatim,"May 22, 2020","Nearly 2,000 projects from 79 countries applied to receive financing.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/AUF-Selects-4-Moroccan-COVID-19-Projects-for-Grants-From-€1-Million-Fund-681x511.jpg,https://www.moroccoworldnews.com/2020/05/303511/auf-selects-4-moroccan-covid-19-projects-for-grants/
Morocco to Sight Crescent Moon of Eid al Fitr on Saturday,Safaa Kasraoui,"May 22, 2020","Astronomers believe Eid al-Fitr will be on Sunday, May 24.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco-to-Sight-Crescent-Moon-of-Eid-al-Fitr-on-Saturday-681x379.jpg,https://www.moroccoworldnews.com/2020/05/303509/morocco-to-sight-crescent-moon-of-eid-al-fitr-on-saturday/
"Morocco Tests 10,000 for COVID-19 in 1 Day, Recoveries Reach 4,377",Yahia Hatim,"May 22, 2020",The country aims to perform nearly 1.8 million tests for COVID-19 by the end of July or the start of August.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco-Exceeds-10000-Daily-COVID-19-Tests-as-Recoveries-Reach-xx-681x410.jpg,https://www.moroccoworldnews.com/2020/05/303497/morocco-tests-10000-for-covid-19-in-1-day-recoveries-reach-4377/
Morocco to Lift Night-Time Curfew After Eid al-Fitr,Safaa Kasraoui,"May 22, 2020",Morocco has been under lockdown since March 20 as part of the preventive measures to contain the spread of COVID-19.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco-to-Lift-Night-Time-Curfew-After-Eid-al-Fitr-681x454.jpg,https://www.moroccoworldnews.com/2020/05/303494/morocco-to-lift-night-time-curfew-after-eid-al-fitr/
"Muslims in US to Celebrate Eid al-Fitr on Sunday, May 24",Kristen Gianaris,"May 22, 2020","Although Eid al-Fitr is not a public holiday in the US, approximately 3.5 million Muslims within the country will celebrate the special day.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Muslims-in-US-to-Celebrate-Eid-al-Fitr-on-Sunday-May-24-681x383.jpg,https://www.moroccoworldnews.com/2020/05/303484/muslims-in-us-to-celebrate-eid-al-fitr-on-sunday-may-24/
Economic Monitoring Committee Announces Morocco’s Recovery Plan,Yahia Hatim,"May 22, 2020",The plan aims to accelerate the restart of economic activities and consolidate Morocco’s achievements.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Economic-Monitoring-Committee-Announces-Morocco’s-Recovery-Plan-681x454.jpg,https://www.moroccoworldnews.com/2020/05/303467/economic-monitoring-committee-announces-moroccos-recovery-plan/
Morocco’s Tourism Transport Federation Prepares for Re-Opening,Safaa Kasraoui,"May 22, 2020","Tourism is one of the pillars of Morocco’s economy, accounting for 11% of the country’s GDP.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco’s-Tourism-Transport-Federation-Prepares-for-Re-Opening-681x378.jpg,https://www.moroccoworldnews.com/2020/05/303466/moroccos-tourism-transport-federation-prepares-for-re-opening/
"Women in Morocco’s Rif Region Produce 33,000 Face Masks",Madeleine Handaji,"May 22, 2020",Families and individuals who are struggling financially during the COVID-19 crisis will receive the masks free of charge.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Women-in-Morocco’s-Rif-Region-Produce-33000-Face-Masks.jpg,https://www.moroccoworldnews.com/2020/05/303452/women-in-moroccos-rif-region-produce-33000-face-masks/
Newly Declassified Clinton Memo Uncovers US Policy on Western Sahara,Madeleine Handaji,"May 22, 2020","“In quiet approaches over the past several months,” the memo explains, “we had encouraged [King] Hassan to opt for a negotiated solution through direct talks with the Polisario.”",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Newly-Declassified-Clinton-Memo-Uncovers-US-Policy-on-Western-Sahara.jpg,https://www.moroccoworldnews.com/2020/05/303446/newly-declassified-clinton-memo-uncovers-us-policy-on-western-sahara/
"Jamal Khashoggi’s Son Forgives Killers, Fiancee Does Not",Kristen Gianaris,"May 22, 2020",The murdered Saudi journalist’s fiancee says Khashoggi’s death is an international symbol of injustice.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Jamal-Khashoggi’s-Son-Forgives-Killers-Fiancee-Does-Not-681x383.jpg,https://www.moroccoworldnews.com/2020/05/303456/jamal-khashoggis-son-forgives-killers-fiancee-does-not/
El Othmani Calls on Moroccans to Learn to Live With COVID-19...,Safaa Kasraoui,"May 22, 2020",El Othmani’s remarks on Thursday suggest Morocco will continue to fight COVID-19 for 12-18 months and the battle is far from over.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/El-Othmani-Calls-on-Moroccans-to-Learn-to-Live-With-COVID-19-for-a-Year.jpg,https://www.moroccoworldnews.com/2020/05/303441/el-othmani-calls-on-moroccans-to-learn-to-live-with-covid-19-for-a-year/
"Pakistani Flight PK 303 Crashes Into Homes in Karachi, 107 Onboard",Yahia Hatim,"May 22, 2020",Footage from the scene shows debris scattered over the crash scene while local residents attempt to look for survivors.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Pakistani-Flight-PK-303-Crashes-Into-Homes-in-Karachi-107-Onboard-681x383.jpg,https://www.moroccoworldnews.com/2020/05/303436/pakistani-flight-pk-303-crashes-into-homes-in-karachi-107-onboard/
"Morocco Tests New Record of 9,873 People for COVID-19 in 18...",Safaa Kasraoui,"May 22, 2020",Morocco launched a campaign for mass COVID-19 testing earlier this month.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco-Tests-New-Record-of-9873-People-for-COVID.jpg,https://www.moroccoworldnews.com/2020/05/303433/morocco-tests-new-record-of-9873-people-for-covid-19-in-18-hours/
"Morocco Unveils Plan to Counter COVID-19 in Prisons, Support Inmates",Morgan Hekking,"May 21, 2020","The DGAPR lauded the effectiveness of its multi-level precautionary measures and actions, citing “very low rates” of COVID-19 infections in detention centers.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/95125721_2944676275759191_3632722612137754624_n-681x457.jpg,https://www.moroccoworldnews.com/2020/05/303429/morocco-unveils-plan-to-counter-covid-19-in-prisons-support-inmates/
"Celebrities Lend Social Media Presence to Experts, Urge Unified Action",Zuza Nazaruk,"May 21, 2020",The #passthemic action gives a voice to experts via celebrities’ social media accounts and presses for a globally coordinated response to eradicate COVID-19.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Celebrities-Lend-Social-Media-Presence-to-Experts-Urge-Unified-Action-2-681x356.jpg,https://www.moroccoworldnews.com/2020/05/303424/celebrities-lend-social-media-presence-to-experts-urge-unified-action/
Sporting Events See Mannequins as Spectators in Light of Pandemic,Taha Mebtoul,"May 21, 2020",A German football team embraced the idea of simulating a cheering section by placing cardboard spectators with realistic human faces in the stadium to replace absent fans.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Sporting-Events-See-Mannequins-as-Spectators-in-Light-of-Pandemic-681x451.jpg,https://www.moroccoworldnews.com/2020/05/303405/sporting-events-see-mannequins-as-spectators-in-light-of-pandemic/
"Saudi Arabia to Celebrate Eid Al Fitr on May 24, Like...",Zuza Nazaruk,"May 21, 2020","Observations of Saudi astronomers correspond with those of Moroccans and mean that this year, most Islamic countries will celebrate Eid Al Fitr on the same day.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Saudi-Arabia-to-Celebrate-Eid-Al-Fitr-on-May-24-Like-Morocco-681x447.jpg,https://www.moroccoworldnews.com/2020/05/303409/saudi-arabia-to-celebrate-eid-al-fitr-on-may-24-like-morocco/
CAF Appoints Six Moroccans to 2020-2021 Standing Committees,Hamza Guessous,"May 21, 2020",Standing committees are charged with directing and managing the various aspects of the organization of the game in Africa.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/CAF-Appoints-Six-Moroccans-to-2020-2021-Standing-Committees-681x409.jpg,https://www.moroccoworldnews.com/2020/05/303402/caf-appoints-six-moroccans-to-2020-2021-standing-committees/
"Morocco Maintains Steady Supply of Fishery, Agricultural Products",Hamza Guessous,"May 21, 2020",The ministry said that the agricultural and fisheries sectors were able to maintain their export obligations and activities amid the COVID-19 crisis.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco-Maintains-Steady-Supply-of-Fishery-Agricultural-Products-681x454.jpg,https://www.moroccoworldnews.com/2020/05/303399/morocco-maintains-steady-supply-of-fishery-agricultural-products/
New Heatwave to Hit Morocco in Coming Four Days,Taha Mebtoul,"May 21, 2020","In a special orange-level bulletin, DMN indicates that temperatures will vary between 40 to 44 degrees Celsius in the southern provinces.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Heatwave-to-Hit-Morocco-for-4-Days-681x263.jpg,https://www.moroccoworldnews.com/2020/05/303392/heatwave-to-hit-morocco-for-4-days/
Public Health School Launches Morocco’s First Online Health Academy,Safaa Kasraoui,"May 21, 2020","The project, which required contributions from international organizations such as the WHO and UNICEF, was developed over the course of three years.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Public-Health-School-Launches-Morocco’s-First-Online-Health-Academy.png,https://www.moroccoworldnews.com/2020/05/303389/public-health-school-launches-moroccos-first-online-health-academy/
Morocco to Perform 1.8 Million COVID-19 Tests in Next 90 Days,Yahia Hatim,"May 21, 2020",The tests are part of Morocco’s strategy to lift the nationwide lockdown without causing a major COVID-19 outbreak.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco-to-Perform-1.8-Million-COVID-19-Tests-in-Next-90-Days-681x455.jpg,https://www.moroccoworldnews.com/2020/05/303376/morocco-to-perform-1-8-million-covid-19-tests-in-next-90-days/
"Morocco’s COVID-19 Case Count Reaches 7,211, Recoveries 4,280",Yahia Hatim,"May 21, 2020","Morocco’s recovery rate continues to increase on a daily basis, now reaching 59.4%.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco’s-COVID-19-Case-Count-Reaches-XX-Recoveries-XX-681x410.jpg,https://www.moroccoworldnews.com/2020/05/303369/moroccos-covid-19-case-count-reaches-7211-recoveries-4280/
New Study Aims to Determine Dogs’ Ability to Sniff Out COVID-19,Morgan Hekking,"May 21, 2020",The trained sniffer dogs could potentially screen up to 250 travelers for COVID-19 per hour.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/New-Study-Aims-to-Determine-Dogs’-Ability-to-Sniff-Out-COVID-19-681x453.jpg,https://www.moroccoworldnews.com/2020/05/303367/new-study-aims-to-determine-dogs-ability-to-sniff-out-covid-19/
‘Siege of Ceuta’: Vox Says Spanish Government Refuses to Intervene,Madeleine Handaji,"May 21, 2020",Senator for Ceuta and Vox party member Yolanda Merelo asked the Spanish coalition government why they refused to intervene in the “siege of Ceuta.”,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Siege-of-Ceuta-Vox-Says-Spanish-Government-Refuses-to-Intervene-681x454.jpg,https://www.moroccoworldnews.com/2020/05/303344/siege-of-ceuta-vox-says-spanish-government-refuses-to-intervene/
"WHO Records Highest Daily COVID-19 Infections, 5 Million Worldwide",Taha Mebtoul,"May 21, 2020","The US remains the hardest hit country in the world with more than 1.5 million cases and 92,000 deaths so far.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/WHO-records-Highest-Daily-COVID-19-Infections-5-Million-Worldwide-681x412.jpg,https://www.moroccoworldnews.com/2020/05/303361/who-records-highest-daily-covid-19-infections-5-million-worldwide/
Repatriations for Moroccans Stranded in Ceuta to Start on Friday,Safaa Kasraoui,"May 21, 2020",On May 15 Morocco authorized the repatriation of  200 Moroccans stranded in Melilla.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Repatriations-for-Moroccans-Stranded-in-Ceuta-to-Start-on-Friday-681x380.jpg,https://www.moroccoworldnews.com/2020/05/303359/repatriations-for-moroccans-stranded-in-ceuta-to-start-on-friday/
"Morocco, Indonesia Team Up to Fight COVID-19 in Africa",Morgan Hekking,"May 21, 2020",Indonesia’s foreign minister said the world cannot defeat COVID-19 if African countries are denied access to quality health services.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/indonesia-681x446.jpg,https://www.moroccoworldnews.com/2020/05/303353/morocco-indonesia-team-up-to-fight-covid-19-in-africa/
Moroccans Get Free Access to 11 More Movies During COVID-19 Lockdown,Yahia Hatim,"May 21, 2020",More than 35 Moroccan movies are now available online for free.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Moroccans-Get-Free-Access-to-11-More-Movies-During-COVID-19-Lockdown-681x437.jpg,https://www.moroccoworldnews.com/2020/05/303352/moroccans-get-free-access-to-11-more-movies-during-covid-19-lockdown/
CGEM Supports Morocco’s Decision to Kick-Start Economic Activity,Safaa Kasraoui,"May 21, 2020",CGEM will present its recovery plan to help mitigate the COVID-19 crisis to the Economic Watch Committee soon.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/CGEM-Supports-Morocco’s-Decision-to-Kick-Start-Economic-Activity-681x454.jpg,https://www.moroccoworldnews.com/2020/05/303345/cgem-supports-moroccos-decision-to-kick-start-economic-activity/
Spain Arrests ISIS Sympathizer Who Fled Morocco,Yahia Hatim,"May 21, 2020",The suspect was on Spanish security services’ watchlist for several years.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Spain-Arrests-ISIS-Sympathizer-Who-Fled-Morocco.jpg,https://www.moroccoworldnews.com/2020/05/303339/spain-arrests-isis-sympathizer-who-fled-morocco/
16 Companies in Morocco Export Reusable Face Masks to Europe,Safaa Kasraoui,"May 21, 2020",Morocco allowed textile companies to export half of their masks produced if their inputs meet national demands.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/16-Companies-in-Morocco-Export-Reusable-Face-Masks-to-Europe.png,https://www.moroccoworldnews.com/2020/05/303336/16-companies-in-morocco-export-reusable-face-masks-to-europe/
Application for 3rd COVID-19 Aid Opens Today for Informal Workers,Yahia Hatim,"May 21, 2020",More than 4.3 million Moroccan families are expected to benefit from financial aid.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Application-for-3rd-COVID-19-Aid-Opens-Today-for-Informal-Workers-681x454.jpg,https://www.moroccoworldnews.com/2020/05/303324/application-for-3rd-covid-19-aid-opens-today-for-informal-workers/
Vox Party: ‘Spain is a Puppet in Morocco’s Hands’,Madeleine Handaji,"May 21, 2020",The far-right Spanish political party said the coalition government is “a useless institution faced with a problem that needs solving urgently.”,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Vox-says-Spain-is-a-Puppet-for-Morocco-681x489.jpg,https://www.moroccoworldnews.com/2020/05/303315/vox-party-spain-is-a-puppet-in-moroccos-hands/
"Morocco Reports 114 New COVID-19 Recoveries, 52 Cases",Safaa Kasraoui,"May 21, 2020","Approximately 10,4705 suspected cases have tested negative for COVID-19 since the outbreak of the pandemic in March.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco-Reports-114-New-COVID-19-Recoveries-52-Cases.jpg,https://www.moroccoworldnews.com/2020/05/303311/morocco-reports-114-new-covid-19-recoveries-52-cases/
King Mohammed VI Wears Face Mask to Preside Over Laylat Al...,Safaa Kasraoui,"May 20, 2020","Photos online show King Mohammed VI wearing a face mask during the prayers, along with a limited audience, to respect state of emergency measures.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/King-Mohammed-VI-Wears-Face-Mask-to-Preside-Over-Laylat-Al-Qadr-Prayers.jpg,https://www.moroccoworldnews.com/2020/05/303308/king-mohammed-vi-wears-face-mask-to-preside-over-laylat-al-qadr-prayers/
UN Appoints Young Moroccan as Youth Coordinator for MENA,Taha Mebtoul,"May 20, 2020",UNFPA's choice was based on Aznague's experience in leading the Sustainable Development's Youth organization.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/UN-Appoints-Young-Moroccan-as-Youth-Coordinator-for-MENA-681x511.jpg,https://www.moroccoworldnews.com/2020/05/303288/un-appoints-young-moroccan-as-youth-coordinator-for-mena/
Baby Powder With Cancer Links to Remain on Shelves in Most...,Morgan Hekking,"May 20, 2020","Lawsuits against the company have stacked up over several years, currently totaling more than 19,000.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Johnson-Johnson-681x383.jpg,https://www.moroccoworldnews.com/2020/05/303289/baby-powder-with-cancer-links-to-remain-on-shelves-in-most-countries/
